"www.agrometeorologia.cl","","","",""
"Red Agrometeorológica de INIA","","","",""
"Generado el 04-05-2024 22:30:49","","","",""
"Carriel Sur, Concepción","","","",""
"","","","",""
"Tiempo UTC-4","Velocidad de Viento km/h","Dirección de Viento º","Velocidad de Viento % de datos ","Dirección de Viento % de datos "
"04-05-2023","9.4","189","100","100"
"05-05-2023","10.2","148","100","100"
"06-05-2023","8.1","211","100","100"
"07-05-2023","8.1","179","100","100"
"08-05-2023","12.6","197","100","100"
"09-05-2023","11.1","199","100","100"
"10-05-2023","9.8","198","100","100"
"11-05-2023","11.5","204","100","100"
"12-05-2023","11.6","205","100","100"
"13-05-2023","13.5","209","100","100"
"14-05-2023","19.1","105","100","100"
"15-05-2023","13.7","97","100","100"
"16-05-2023","6.4","175","100","100"
"17-05-2023","8","193","100","100"
"18-05-2023","9","188","100","100"
"19-05-2023","11.3","185","100","100"
"20-05-2023","14.2","138","100","100"
"21-05-2023","28.4","95","100","100"
"22-05-2023","18.8","69","100","100"
"23-05-2023","17.1","112","100","100"
"24-05-2023","13.8","106","100","100"
"25-05-2023","13.8","154","100","100"
"26-05-2023","14.3","259","100","100"
"27-05-2023","11.2","184","100","100"
"28-05-2023","8.3","182","100","100"
"29-05-2023","10.2","191","100","100"
"30-05-2023","10.9","153","100","100"
"31-05-2023","8.7","163","100","100"
"01-06-2023","20.2","128","100","100"
"02-06-2023","15.3","142","100","100"
"03-06-2023","20.7","201","100","100"
"04-06-2023","10.3","179","100","100"
"05-06-2023","7.7","174","100","100"
"06-06-2023","12.4","201","100","100"
"07-06-2023","12.3","117","100","100"
"08-06-2023","31.8","202","100","100"
"09-06-2023","8.8","214","100","100"
"10-06-2023","10","175","100","100"
"11-06-2023","9.6","198","100","100"
"12-06-2023","13.4","180","100","100"
"13-06-2023","11.4","195","100","100"
"14-06-2023","11","195","100","100"
"15-06-2023","10.3","197","100","100"
"16-06-2023","14.1","179","100","100"
"17-06-2023","12.8","176","100","100"
"18-06-2023","11","117","100","100"
"19-06-2023","14.8","135","100","100"
"20-06-2023","9.8","153","100","100"
"21-06-2023","22.5","47","100","100"
"22-06-2023","25.7","167","100","100"
"23-06-2023","32","304","100","100"
"24-06-2023","11.9","164","100","100"
"25-06-2023","25.8","305","100","100"
"26-06-2023","13.3","246","100","100"
"27-06-2023","8.2","231","100","100"
"28-06-2023","12.8","162","100","100"
"29-06-2023","9.7","160","100","100"
"30-06-2023","5.7","143","100","100"
"01-07-2023","13.3","154","100","100"
"02-07-2023","15.9","127","100","100"
"03-07-2023","17.8","155","100","100"
"04-07-2023","18.4","195","100","100"
"05-07-2023","7.5","177","100","100"
"06-07-2023","6.8","180","100","100"
"07-07-2023","17.8","95","100","100"
"08-07-2023","14.5","217","100","100"
"09-07-2023","8.5","179","100","100"
"10-07-2023","12.1","165","100","100"
"11-07-2023","10.9","145","100","100"
"12-07-2023","7.7","180","100","100"
"13-07-2023","10.8","173","100","100"
"14-07-2023","9.4","183","100","100"
"15-07-2023","12.3","192","100","100"
"16-07-2023","10","188","100","100"
"17-07-2023","8.4","177","100","100"
"18-07-2023","8.5","117","100","100"
"19-07-2023","13.6","132","100","100"
"20-07-2023","29.4","111","100","100"
"21-07-2023","19.4","278","100","100"
"22-07-2023","11.4","242","100","100"
"23-07-2023","8","141","100","100"
"24-07-2023","15.4","88","100","100"
"25-07-2023","12.5","239","100","100"
"26-07-2023","10.1","173","100","100"
"27-07-2023","6.9","149","100","100"
"28-07-2023","8.4","186","96","96"
"29-07-2023","6.1","173","100","100"
"30-07-2023","9.2","192","100","100"
"31-07-2023","12.8","186","100","100"
"01-08-2023","10.9","182","100","100"
"02-08-2023","13","170","100","100"
"03-08-2023","13.8","166","100","100"
"04-08-2023","14.9","183","100","100"
"05-08-2023","12.5","97","100","100"
"06-08-2023","7.7","157","100","100"
"07-08-2023","8.6","186","100","100"
"08-08-2023","8.8","187","100","100"
"09-08-2023","23.8","103","100","100"
"10-08-2023","18.4","215","100","100"
"11-08-2023","11.2","173","100","100"
"12-08-2023","12.9","186","100","100"
"13-08-2023","13.3","207","100","100"
"14-08-2023","8.2","207","63","63"
"15-08-2023","20.1","181","100","100"
"16-08-2023","20","173","100","100"
"17-08-2023","11.7","261","100","100"
"18-08-2023","11.6","147","100","100"
"19-08-2023","25.2","253","100","100"
"20-08-2023","28.5","318","100","100"
"21-08-2023","19.1","285","100","100"
"22-08-2023","9.9","171","100","100"
"23-08-2023","10.5","254","100","100"
"24-08-2023","9","178","100","100"
"25-08-2023","11","176","100","100"
"26-08-2023","10.2","182","100","100"
"27-08-2023","8.2","162","100","100"
"28-08-2023","15.2","155","100","100"
"29-08-2023","10.7","234","100","100"
"30-08-2023","10.9","217","100","100"
"31-08-2023","9.2","184","100","100"
"01-09-2023","11.9","175","100","100"
"02-09-2023","10.8","148","100","100"
"03-09-2023","12.5","190","100","100"
"04-09-2023","7.5","188","100","100"
"05-09-2023","22.3","88","100","100"
"06-09-2023","14.9","312","100","100"
"07-09-2023","13.1","256","100","100"
"08-09-2023","8.4","136","100","100"
"09-09-2023","22.1","238","100","100"
"10-09-2023","18.8","281","100","100"
"11-09-2023","11.8","226","100","100"
"12-09-2023","12.6","192","100","100"
"13-09-2023","18.4","113","100","100"
"14-09-2023","23.8","94","100","100"
"15-09-2023","19.6","288","100","100"
"16-09-2023","15.8","233","100","100"
"17-09-2023","13.9","193","100","100"
"18-09-2023","13.1","200","100","100"
"19-09-2023","13.9","190","100","100"
"20-09-2023","16.9","136","100","100"
"21-09-2023","27.6","24","100","100"
"22-09-2023","16.2","209","100","100"
"23-09-2023","10.5","188","100","100"
"24-09-2023","10.1","184","100","100"
"25-09-2023","8.9","178","100","100"
"26-09-2023","15.5","197","100","100"
"27-09-2023","14.4","205","100","100"
"28-09-2023","19.7","196","100","100"
"29-09-2023","14.6","189","100","100"
"30-09-2023","12.6","229","100","100"
"01-10-2023","10.3","249","100","100"
"02-10-2023","10.5","161","100","100"
"03-10-2023","7.5","177","100","100"
"04-10-2023","14","204","100","100"
"05-10-2023","11.5","190","100","100"
"06-10-2023","9","169","100","100"
"07-10-2023","16.6","194","100","100"
"08-10-2023","14.9","192","100","100"
"09-10-2023","15.5","210","100","100"
"10-10-2023","16.7","191","100","100"
"11-10-2023","17.8","208","100","100"
"12-10-2023","16.1","214","100","100"
"13-10-2023","16.1","214","100","100"
"14-10-2023","16.8","217","100","100"
"15-10-2023","20.7","208","96","96"
"16-10-2023","16.1","211","100","100"
"17-10-2023","12.1","137","100","100"
"18-10-2023","17.9","193","100","100"
"19-10-2023","13.5","204","100","100"
"20-10-2023","13.6","217","100","100"
"21-10-2023","10.7","155","100","100"
"22-10-2023","14.9","218","100","100"
"23-10-2023","14.4","217","100","100"
"24-10-2023","17.1","214","100","100"
"25-10-2023","17.1","213","100","100"
"26-10-2023","16.2","210","100","100"
"27-10-2023","18.6","220","100","100"
"28-10-2023","29.3","291","100","100"
"29-10-2023","17.2","257","100","100"
"30-10-2023","15.8","195","100","100"
"31-10-2023","14.2","199","100","100"
"01-11-2023","14","215","100","100"
"02-11-2023","12.8","192","100","100"
"03-11-2023","17.2","205","100","100"
"04-11-2023","13.5","227","100","100"
"05-11-2023","11.5","162","100","100"
"06-11-2023","13.9","138","100","100"
"07-11-2023","15.6","246","100","100"
"08-11-2023","16.2","206","100","100"
"09-11-2023","11.8","233","100","100"
"10-11-2023","16.7","248","100","100"
"11-11-2023","23.3","244","100","100"
"12-11-2023","18.2","195","100","100"
"13-11-2023","16.6","199","100","100"
"14-11-2023","20.1","204","100","100"
"15-11-2023","16.8","204","100","100"
"16-11-2023","13.8","247","100","100"
"17-11-2023","21","297","100","100"
"18-11-2023","7.6","166","100","100"
"19-11-2023","10.7","216","100","100"
"20-11-2023","14","183","100","100"
"21-11-2023","18.4","206","100","100"
"22-11-2023","18.1","208","100","100"
"23-11-2023","19.7","209","100","100"
"24-11-2023","12.9","160","100","100"
"25-11-2023","14.7","211","100","100"
"26-11-2023","13.4","189","100","100"
"27-11-2023","16.4","137","100","100"
"28-11-2023","16.3","219","100","100"
"29-11-2023","19.9","209","100","100"
"30-11-2023","17.4","230","100","100"
"01-12-2023","12.9","247","100","100"
"02-12-2023","26.4","196","100","100"
"03-12-2023","22","218","100","100"
"04-12-2023","13.3","216","100","100"
"05-12-2023","11.6","234","100","100"
"06-12-2023","10.8","180","100","100"
"07-12-2023","16.1","219","100","100"
"08-12-2023","24.5","219","100","100"
"09-12-2023","19","202","100","100"
"10-12-2023","20.1","213","100","100"
"11-12-2023","14.5","229","100","100"
"12-12-2023","19.5","215","100","100"
"13-12-2023","18.4","221","100","100"
"14-12-2023","18.4","215","100","100"
"15-12-2023","11.3","192","100","100"
"16-12-2023","20.4","119","100","100"
"17-12-2023","17.8","222","100","100"
"18-12-2023","18.9","211","100","100"
"19-12-2023","13.9","164","100","100"
"20-12-2023","11.7","207","100","100"
"21-12-2023","15.9","217","100","100"
"22-12-2023","20.2","218","100","100"
"23-12-2023","16","219","100","100"
"24-12-2023","15.8","220","100","100"
"25-12-2023","16.7","215","100","100"
"26-12-2023","13","167","100","100"
"27-12-2023","9.8","221","100","100"
"28-12-2023","9.5","129","100","100"
"29-12-2023","11.8","166","100","100"
"30-12-2023","19","156","100","100"
"31-12-2023","10.1","187","100","100"
"01-01-2024","9.8","194","100","100"
"02-01-2024","18.1","215","100","100"
"03-01-2024","16.9","217","100","100"
"04-01-2024","13.6","181","100","100"
"05-01-2024","10.8","200","100","100"
"06-01-2024","12.6","247","100","100"
"07-01-2024","16.8","194","100","100"
"08-01-2024","21.3","201","100","100"
"09-01-2024","17.6","206","100","100"
"10-01-2024","15.6","226","100","100"
"11-01-2024","15.9","213","100","100"
"12-01-2024","16.7","222","100","100"
"13-01-2024","19","218","100","100"
"14-01-2024","20.4","208","100","100"
"15-01-2024","19.1","221","100","100"
"16-01-2024","20.6","218","100","100"
"17-01-2024","22.6","218","100","100"
"18-01-2024","22.3","211","100","100"
"19-01-2024","18.6","214","100","100"
"20-01-2024","16.8","219","100","100"
"21-01-2024","11.5","200","100","100"
"22-01-2024","14","108","100","100"
"23-01-2024","11.9","200","100","100"
"24-01-2024","14.7","206","100","100"
"25-01-2024","14","156","100","100"
"26-01-2024","10.4","232","100","100"
"27-01-2024","13.7","211","100","100"
"28-01-2024","12.2","197","100","100"
"29-01-2024","9.3","182","100","100"
"30-01-2024","15.2","192","100","100"
"31-01-2024","17.4","220","100","100"
"01-02-2024","19.8","216","100","100"
"02-02-2024","22.6","213","100","100"
"03-02-2024","21.4","216","100","100"
"04-02-2024","14.1","150","100","100"
"05-02-2024","11.3","179","100","100"
"06-02-2024","10.1","182","100","100"
"07-02-2024","18.4","211","100","100"
"08-02-2024","16.2","220","100","100"
"09-02-2024","12.9","116","100","100"
"10-02-2024","11.3","219","100","100"
"11-02-2024","17.7","216","100","100"
"12-02-2024","17.7","221","100","100"
"13-02-2024","15.8","172","100","100"
"14-02-2024","13.7","219","100","100"
"15-02-2024","8.9","225","100","100"
"16-02-2024","15.7","220","100","100"
"17-02-2024","20.9","214","100","100"
"18-02-2024","17.5","211","100","100"
"19-02-2024","14.8","103","100","100"
"20-02-2024","10.7","169","100","100"
"21-02-2024","9.3","152","100","100"
"22-02-2024","11.9","202","100","100"
"23-02-2024","17.7","206","100","100"
"24-02-2024","13.7","203","100","100"
"25-02-2024","16.2","216","100","100"
"26-02-2024","15","207","100","100"
"27-02-2024","15.5","210","100","100"
"28-02-2024","17.3","205","100","100"
"29-02-2024","16","221","100","100"
"01-03-2024","18.3","217","100","100"
"02-03-2024","21.7","207","100","100"
"03-03-2024","15.1","201","100","100"
"04-03-2024","13.7","211","100","100"
"05-03-2024","17.7","210","100","100"
"06-03-2024","17.3","212","100","100"
"07-03-2024","12.8","187","100","100"
"08-03-2024","11.6","153","100","100"
"09-03-2024","15.9","191","100","100"
"10-03-2024","10.9","210","100","100"
"11-03-2024","12.3","78","100","100"
"12-03-2024","14.6","187","100","100"
"13-03-2024","9.4","182","100","100"
"14-03-2024","16.9","203","100","100"
"15-03-2024","16","197","100","100"
"16-03-2024","17.2","208","100","100"
"17-03-2024","15.7","210","100","100"
"18-03-2024","13.2","204","100","100"
"19-03-2024","12.9","170","100","100"
"20-03-2024","19.5","197","100","100"
"21-03-2024","11.5","161","100","100"
"22-03-2024","8","152","100","100"
"23-03-2024","10.9","161","100","100"
"24-03-2024","15.7","214","100","100"
"25-03-2024","12.7","203","100","100"
"26-03-2024","15.7","198","100","100"
"27-03-2024","15.6","215","100","100"
"28-03-2024","13","212","100","100"
"29-03-2024","15.2","192","100","100"
"30-03-2024","15.6","197","100","100"
"31-03-2024","11.1","212","100","100"
"01-04-2024","10","173","100","100"
"02-04-2024","15.7","153","100","100"
"03-04-2024","9.6","169","100","100"
"04-04-2024","14.1","204","100","100"
"05-04-2024","14.3","205","100","100"
"06-04-2024","10.8","188","100","100"
"07-04-2024","12.3","206","100","100"
"08-04-2024","9.5","185","100","100"
"09-04-2024","13.6","199","100","100"
"10-04-2024","7","171","100","100"
"11-04-2024","11.5","172","100","100"
"12-04-2024","7.7","184","100","100"
"13-04-2024","9.5","135","100","100"
"14-04-2024","6.6","243","100","100"
"15-04-2024","11.8","146","100","100"
"16-04-2024","13.7","234","100","100"
"17-04-2024","10.2","169","100","100"
"18-04-2024","7.8","200","100","100"
"19-04-2024","10.1","193","100","100"
"20-04-2024","8.3","202","100","100"
"21-04-2024","14.5","131","100","100"
"22-04-2024","11.9","218","100","100"
"23-04-2024","11.7","176","100","100"
"24-04-2024","12.8","159","100","100"
"25-04-2024","14.2","250","96","96"
"26-04-2024","9.3","193","100","100"
"27-04-2024","8.2","177","100","100"
"28-04-2024","12.1","129","100","100"
"29-04-2024","30.8","178","100","100"
"30-04-2024","11.9","257","100","100"
"01-05-2024","10.9","183","100","100"
"02-05-2024","13.1","194","100","100"
"03-05-2024","18.5","161","100","100"
"04-05-2024","16.4","294","88","88"
"","","","",""
"","","","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","","","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","","","",""
